label	url
Add a payment method for a tenantpost	https://revenium.readme.io/reference/addpaymentmethod
AI Alert	https://revenium.readme.io/reference/ai-alert
AI Alerts Budget	https://revenium.readme.io/reference/ai-alerts-budget
AI Anomaly	https://revenium.readme.io/reference/ai-anomaly
AI Audio Metering	https://revenium.readme.io/reference/ai-audio-metering
AI Audio Metrics	https://revenium.readme.io/reference/ai-audio-metrics
AI Completion Metrics	https://revenium.readme.io/reference/ai-completion-metrics
AI Image Metering	https://revenium.readme.io/reference/ai-image-metering
AI Image Metrics	https://revenium.readme.io/reference/ai-image-metrics
AI Metering	https://revenium.readme.io/reference/ai-metering
AI Metrics	https://revenium.readme.io/reference/ai-metrics
AI Model Pricing	https://revenium.readme.io/reference/ai-model-pricing
AI Models	https://revenium.readme.io/reference/ai-models
AI Traces	https://revenium.readme.io/reference/ai-traces
AI Video Metering	https://revenium.readme.io/reference/ai-video-metering
AI Video Metrics	https://revenium.readme.io/reference/ai-video-metrics
Analytics	https://revenium.readme.io/reference/analytics
API Keys	https://revenium.readme.io/reference/api-keys
API Metering	https://revenium.readme.io/reference/api-metering
API Metrics	https://revenium.readme.io/reference/api-metrics
AI Model Pricing	https://revenium.readme.io/reference/batch_save_pricing_dimensions
Billing Analytics	https://revenium.readme.io/reference/billing-analytics
Delete multiple AI Metricsdel	https://revenium.readme.io/reference/bulk_delete_ai_metrics
Chart Builder	https://revenium.readme.io/reference/chart-builder
Chart Definitions	https://revenium.readme.io/reference/chart-definitions
Clear all AI Anomaliesdel	https://revenium.readme.io/reference/clear_all_ai_anomalies
Clone a Global AI Modelpost	https://revenium.readme.io/reference/clone_ai_model
Coding Assistant	https://revenium.readme.io/reference/coding-assistant
Create a New AI Anomalypost	https://revenium.readme.io/reference/create_ai_anomaly
AI Models	https://revenium.readme.io/reference/create_ai_model
Create a new API Keypost	https://revenium.readme.io/reference/create_api_key
Create chart definitionpost	https://revenium.readme.io/reference/create_chart_definition
Create a Credentialpost	https://revenium.readme.io/reference/create_credential
Create a new Metering Element Definitionpost	https://revenium.readme.io/reference/create_metering_element_definition
Create a Notification Configurationpost	https://revenium.readme.io/reference/create_notification_configuration
Create a new Organizationpost	https://revenium.readme.io/reference/create_organization
Create a New Payment Receivedpost	https://revenium.readme.io/reference/create_payment_received
Create Pricing Dimensionpost	https://revenium.readme.io/reference/create_pricing_dimension
Create a new Productpost	https://revenium.readme.io/reference/create_product
Create a new Provider Credentialpost	https://revenium.readme.io/reference/create_provider_credential
Create a new S3 Export Destinationpost	https://revenium.readme.io/reference/create_s3_export_destination
Create a Slack configurationpost	https://revenium.readme.io/reference/create_slack_configuration
Create a new Sourcepost	https://revenium.readme.io/reference/create_source
Create a new Subscriberpost	https://revenium.readme.io/reference/create_subscriber
Create a new Subscriptionpost	https://revenium.readme.io/reference/create_subscription
Create a new Teampost	https://revenium.readme.io/reference/create_team
Create a Toolpost	https://revenium.readme.io/reference/create_tool
Create a new Userpost	https://revenium.readme.io/reference/create_user
Credentials	https://revenium.readme.io/reference/credentials
Delete an AI Anomalydel	https://revenium.readme.io/reference/delete_ai_anomaly
Delete an AI Completion Metricdel	https://revenium.readme.io/reference/delete_ai_completion_metric
Delete multiple AI Completion Metricsdel	https://revenium.readme.io/reference/delete_ai_completion_metrics_bulk
Delete an AI Metricdel	https://revenium.readme.io/reference/delete_ai_metric
Delete an AI Modeldel	https://revenium.readme.io/reference/delete_ai_model
Delete a API Keydel	https://revenium.readme.io/reference/delete_api_key
Delete chart definitiondel	https://revenium.readme.io/reference/delete_chart_definition
