Company,URL,Logo,Number of parts
Abracon,https://abracon.com/,https://abracon.com/assets/nav/bg-logo-color@2x.png,198388
Amphenol,https://www.amphenol.com/,https://aphstprime.blob.core.windows.net/images-layout/logo.svg,8259699
Amphenol Advanced Sensors,https://amphenolsensors.com/,https://amphenolsensors.com/assets/amphenol-sensors-wordmark-BsX69yqG.png,3348
Analog Devices,https://www.analog.com/en/index.html,https://iconlogovector.com/uploads/images/2025/04/lg-67eb334d696cb-Analog-Devices.webp,378214
B&K Precision,https://www.bkprecision.com/,https://bkpmedia.s3.us-west-1.amazonaws.com/images/bk_logo_wht_with_75.png,10820
Bourns,https://bourns.com/,https://bourns.com/images/home-page/bourns_logo_white.png?sfvrsn=295490f1_3,166449
Cooper Industries,https://eaton.com,https://images.seeklogo.com/logo-png/4/1/eaton-logo-png_seeklogo-45191.png,20301
Diodes Inc.,https://www.diodes.com/,https://www.diodes.com/_resources/themes/main/dist/images/diodes-pericom-tagline.svg?m=1785535855,77320
Eaton,https://eaton.com,https://images.seeklogo.com/logo-png/4/1/eaton-logo-png_seeklogo-45191.png,1140938
Fluke,https://www.fluke.com/,<img src="//logotyp.us/file/fluke.svg" alt="Fluke"><a href="//logotyp.us/logo/fluke">Fluke logo</a>,27218
GeneSiC Semiconductor,https://navitassemi.com/home,https://www.mouser.com/images/suppliers/logos/navitas.png,2853
Honeywell,https://www.honeywell.com/us/en,https://www.honeywell.com/content/dam/honcorp/us-en/common-assets/logos/hon-honeywell-technologies-logo-full-horizontal.svg,227755
Infineon,https://www.infineon.com/,https://octopart.com/_next/image?url=https%3A%2F%2Fsigma.octopart.com%2Fcompany_logos%2F196_rect.png&w=3840&q=75,175646
Intersil,https://www.renesas.com/en,https://www.renesas.com/themes/kachow/src/components/header/images/header-sets/2022-11/header-w.svg?header_set=1&ts=1629138828,27238
IXYS,https://www.ixys-semiconductor.com/,https://www.ixys-semiconductor.com/theme/images/logo.png,6446
KYOCERA AVX,https://www.kyocera-avx.com/,https://www.kyocera-avx.com/,650549
Lattice Semiconductor,https://www.latticesemi.com/,https://www.latticesemi.com/-/media/LatticeSemi/Images/Common/Logo.ashx?h=23&la=en&mw=144&w=144,19500
Littelfuse,https://www.littelfuse.com/,https://www.littelfuse.com/,225693
Microchip Technology Inc.,https://www.microchip.com/,https://www.microchip.com/content/experience-fragments/mchp/en_us/site/header/master/_jcr_content/root/responsivegrid/header/logo.coreimg.100.500.png/1605828081463/microchip.png,354436
Molex,https://www.molex.com/en-us/home,https://www.molex.com/en-us/home,990678
Murata (Manufacturing),https://www.murata.com/en-us,https://www.murata.com/-/media/siterenewal/business/commons/icons/logo.ashx?la=en-us&cvid=20220419093335000000,287972
Navitas,https://navitassemi.com/home,https://www.mouser.com/images/suppliers/logos/navitas.png,2240
Nexperia,https://www.nexperia.com/,https://www.nexperia.com/,39632
NTE Electronics,https://nteelectronics.org/,https://nteelectronics.org/wp-content/uploads/2024/03/logo.jpg,38472
Nuvoton,https://www.nuvoton.com/,https://www.nuvoton.com/,3923
Omron,https://www.omron.com/global/en/,https://octopart.com/_next/image?url=https%3A%2F%2Fsigma.octopart.com%2Fcompany_logos%2F277_rect.png&w=3840&q=75,336773
onsemi,https://www.onsemi.com/,https://octopart.com/_next/image?url=https%3A%2F%2Fsigma.octopart.com%2Fcompany_logos%2F278_rect.png&w=3840&q=75,130765
Panasonic,https://shop.panasonic.com/,https://octopart.com/_next/image?url=https%3A%2F%2Fsigma.octopart.com%2Fcompany_logos%2F287_rect.png&w=3840&q=75,393366
Panduit,https://www.panduit.com/content/dam/panduit/logos/Panduit%20Logo%20Desktop%20header.svg,https://www.panduit.com/en.html,243777
Panjit,https://www.panjit.com.tw/upload/2019_11_181/20191118144407w59p9eLFI1.png,https://www.panjit.com.tw/en,77994
Phoenix Contact,https://www.phoenixcontact.com/en-pc/,https://octopart.com/_next/image?url=https%3A%2F%2Fsigma.octopart.com%2Fcompany_logos%2F298_rect.png&w=3840&q=75,430973
Pomona Electronics,https://www.pomonaelectronics.com/images/logo.webp,https://www.pomonaelectronics.com/,10958
Powerex,https://www.pwrx.com/Home.aspx,https://www.pwrx.com//,6499
PUI Audio,https://puiaudio.com/wp-content/uploads/2022/06/Pui_Logo_Full_Color_RGB.svg,https://puiaudio.com/,2275
Renesas,https://www.renesas.com/en,https://www.renesas.com/themes/kachow/src/components/header/images/header-sets/2022-11/header-w.svg?header_set=1&ts=1629138828,361920
Rochester Electronics,https://www.rocelec.com/,https://octopart.com/_next/image?url=https%3A%2F%2Fsigma.octopart.com%2Fcompany_logos%2F2638_rect.png&w=3840&q=75,77366
Samsung,https://semiconductor.samsung.com/,https://semiconductor.samsung.com/etc.clientlibs/semiconductor/designs/global/common/resources/img/icon/global-samsung-logo.svg,109930
Samtec,https://samtec-marketing-cdn.azureedge.net/kineticimages/images/samtec-logo-reverse.png,https://www.samtec.com/,3208713
Sensata,,,148309
STMicroelectronics,,,
TDK,,,
TE Connectivity,,,
TE Connectivity / Raychem,,,
Teccor,,,
Texas Instruments,,,
Vishay,,,
Weidmuller,,,
Wurth Elektronik,,,
Xilinx,,,
