Category,Subcategory,Sub-subcategory,Octopart ID,URL Path,Number of parts
Cables and Wire,,,4393,/electronic-parts/cables-and-wire,5302801
Cables and Wire,Audio / Video Cables,,5031,/electronic-parts/cables-and-wire/audio-video-cables,8285
Cables and Wire,Bulk Hook-up Wire,,4394,/electronic-parts/cables-and-wire/bulk-hook-up-wire,11247
Cables and Wire,Bulk Multiple Conductor Cables,,4399,/electronic-parts/cables-and-wire/bulk-multiple-conductor-cables,15563
Cables and Wire,Coaxial / RF Cable Assemblies,,4396,/electronic-parts/cables-and-wire/coaxial-rf-cable-assemblies,3781378
Cables and Wire,D-Sub Cables,,4378,/electronic-parts/cables-and-wire/d-sub-cables,2617
Cables and Wire,Ethernet Cables,,4387,/electronic-parts/cables-and-wire/ethernet-cables,84608
Cables and Wire,FFC / FPC Cables,,5032,/electronic-parts/cables-and-wire/ffc-fpc-cables,6355
Cables and Wire,Fiber Optic Cables,,4398,/electronic-parts/cables-and-wire/fiber-optic-cables,60537
Cables and Wire,Flat Ribbon Cables,,4395,/electronic-parts/cables-and-wire/flat-ribbon-cables,15046
Cables and Wire,USB Cables,,4373,/electronic-parts/cables-and-wire/usb-cables,6688
Cables and Wire,Wire Protection and Management,,5326,/electronic-parts/cables-and-wire/wire-protection-and-management,96276
Cables and Wire,Wire Protection and Management,Cable Markers,5384,/electronic-parts/cables-and-wire/wire-protection-and-management/cable-markers,26706
Cables and Wire,Wire Protection and Management,Cable Ties,5385,/electronic-parts/cables-and-wire/wire-protection-and-management/cable-ties,7282
Cables and Wire,Wire Protection and Management,Heat Shrink Tubing,5392,/electronic-parts/cables-and-wire/wire-protection-and-management/heat-shrink-tubing,39150
Cables and Wire,Wire Protection and Management,Non-Heat Shrink Tubing and Sleeves,5391,/electronic-parts/cables-and-wire/wire-protection-and-management/non-heat-shrink-tubing-and-sleeves,113
Cables and Wire,Wire Protection and Management,Wire Ducting,5388,/electronic-parts/cables-and-wire/wire-protection-and-management/wire-ducting,5385
Circuit Protection,,,4569,/electronic-parts/circuit-protection,897632
Circuit Protection,Circuit Breakers,,4587,/electronic-parts/circuit-protection/circuit-breakers,345319
Circuit Protection,ESD and Circuit Protection ICs,,5421,/electronic-parts/circuit-protection/esd-and-circuit-protection-ics,531
Circuit Protection,ESD Protection Diodes,,6351,/electronic-parts/circuit-protection/esd-protection-diodes,334
Circuit Protection,Fuse Holders,,4589,/electronic-parts/circuit-protection/fuse-holders,11563
Circuit Protection,Fuses,,4588,/electronic-parts/circuit-protection/fuses,71617
Circuit Protection,PTC Resettable Fuses,,6321,/electronic-parts/circuit-protection/ptc-resettable-fuses,6703
Circuit Protection,TVS Diodes,,6322,/electronic-parts/circuit-protection/tvs-diodes,205870
Circuit Protection,Varistors,,4250,/electronic-parts/circuit-protection/varistors,9724
Connectors,,,4364,/electronic-parts/connectors,14707834
Connectors,Accessories,,6466,/electronic-parts/connectors/accessories,807051
Connectors,Audio / Video Connectors,,5142,/electronic-parts/connectors/audio-video-connectors,7508
Connectors,Automotive Connectors,,5429,/electronic-parts/connectors/automotive-connectors,21755
Connectors,Backplane Connectors,,6326,/electronic-parts/connectors/backplane-connectors,11295
Connectors,Backplane Connectors,DIN 41612 Connectors,5279,/electronic-parts/connectors/backplane-connectors/din-41612-connectors,2696
Connectors,Backplane Connectors,Hard Metric Connectors,6327,/electronic-parts/connectors/backplane-connectors/hard-metric-connectors,2371
Connectors,Board to Board Connectors,,5704,/electronic-parts/connectors/board-to-board-connectors,288779
Connectors,Card Edge Connectors,,5159,/electronic-parts/connectors/card-edge-connectors,1290860
Connectors,Circular Connectors,,6339,/electronic-parts/connectors/circular-connectors,6273339
Connectors,D-Sub Connectors,,5182,/electronic-parts/connectors/d-sub-connectors,1142633
Connectors,FFC / FPC,,6329,/electronic-parts/connectors/ffc-fpc,11736
Connectors,Fiber Optic Connectors,,5183,/electronic-parts/connectors/fiber-optic-connectors,8529
Connectors,Headers and Wire Housings,,5193,/electronic-parts/connectors/headers-and-wire-housings,761052
Connectors,IC and Component Sockets,,5194,/electronic-parts/connectors/ic-and-component-sockets,13633
Connectors,Memory Connectors,,6328,/electronic-parts/connectors/memory-connectors,2942
Connectors,Modular / Ethernet Connectors,,5399,/electronic-parts/connectors/modular-ethernet-connectors,26499
Connectors,Photovoltaic / Solar Connectors,,6330,/electronic-parts/connectors/photovoltaic-solar-connectors,566
Connectors,Power Connectors,,4406,/electronic-parts/connectors/power-connectors,122813
Connectors,Rectangular Connectors,,6381,/electronic-parts/connectors/rectangular-connectors,48923
Connectors,RF / Coaxial Connectors,,5219,/electronic-parts/connectors/rf-coaxial-connectors,51180
Connectors,Shunts and Jumpers,,6474,/electronic-parts/connectors/shunts-and-jumpers,6108
Connectors,Terminal Blocks,,5267,/electronic-parts/connectors/terminal-blocks,425726
Connectors,Terminals,,5224,/electronic-parts/connectors/terminals,32581
Connectors,Test Points,,6475,/electronic-parts/connectors/test-points,1843
Connectors,USB Connectors,,5272,/electronic-parts/connectors/usb-connectors,2460
Discrete Semiconductors,,,4219,/electronic-parts/discrete-semiconductors,686181
Discrete Semiconductors,Diodes,,4220,/electronic-parts/discrete-semiconductors/diodes,361707
Discrete Semiconductors,Diodes,Bridge Rectifier Diodes,6359,/electronic-parts/discrete-semiconductors/diodes/bridge-rectifier-diodes,23462
Discrete Semiconductors,Diodes,Current Regulators,6361,/electronic-parts/discrete-semiconductors/diodes/current-regulators,3376
Discrete Semiconductors,Diodes,Rectifier Diodes,4226,/electronic-parts/discrete-semiconductors/diodes/rectifier-diodes,127812
Discrete Semiconductors,Diodes,RF Diodes,6384,/electronic-parts/discrete-semiconductors/diodes/rf-diodes,4382
Discrete Semiconductors,Diodes,Schottky Diodes,4227,/electronic-parts/discrete-semiconductors/diodes/schottky-diodes,20006
Discrete Semiconductors,Diodes,Varactors - Varicap Diodes,6360,/electronic-parts/discrete-semiconductors/diodes/varactors-varicap-diodes,3768
Discrete Semiconductors,Diodes,Zener Diodes,4221,/electronic-parts/discrete-semiconductors/diodes/zener-diodes,153158
Discrete Semiconductors,Thyristors,,4243,/electronic-parts/discrete-semiconductors/thyristors,24184
Discrete Semiconductors,Thyristors,"DIACs, SIDACs",4245,/electronic-parts/discrete-semiconductors/thyristors/diacs-sidacs,1839
Discrete Semiconductors,Thyristors,SCRs,4244,/electronic-parts/discrete-semiconductors/thyristors/scrs,6584
Discrete Semiconductors,Thyristors,TRIACs,4249,/electronic-parts/discrete-semiconductors/thyristors/triacs,6836
Discrete Semiconductors,Transistors,,4228,/electronic-parts/discrete-semiconductors/transistors,293518
Discrete Semiconductors,Transistors,BJTs,4237,/electronic-parts/discrete-semiconductors/transistors/bjts,62356
Discrete Semiconductors,Transistors,IGBTs,4241,/electronic-parts/discrete-semiconductors/transistors/igbts,10159
Discrete Semiconductors,Transistors,JFETs,4233,/electronic-parts/discrete-semiconductors/transistors/jfets,1405
Discrete Semiconductors,Transistors,MOSFETs,4229,/electronic-parts/discrete-semiconductors/transistors/mosfets,175540
Discrete Semiconductors,Transistors,RF BJT,6386,/electronic-parts/discrete-semiconductors/transistors/rf-bjt,980
Discrete Semiconductors,Transistors,RF MOSFET,6385,/electronic-parts/discrete-semiconductors/transistors/rf-mosfet,2774
Electromechanical,,,6310,/electronic-parts/electromechanical,2007645
Electromechanical,Audio Products,,4592,/electronic-parts/electromechanical/audio-products,27238
Electromechanical,Audio Products,Buzzers,6313,/electronic-parts/electromechanical/audio-products/buzzers,1030
Electromechanical,Audio Products,Microphones,4615,/electronic-parts/electromechanical/audio-products/microphones,2149
Electromechanical,Audio Products,Speakers,4629,/electronic-parts/electromechanical/audio-products/speakers,4235
Electromechanical,Motors and Drives,,4878,/electronic-parts/electromechanical/motors-and-drives,466357
Electromechanical,Motors and Drives,"AC, DC and Servo Motors",4882,/electronic-parts/electromechanical/motors-and-drives/ac-dc-and-servo-motors,42193
Electromechanical,Motors and Drives,Brushless DC Motors,6380,/electronic-parts/electromechanical/motors-and-drives/brushless-dc-motors,138
